Original Line,Latitude,Longitude
"Point,Dash Sports,741 W Montrose St,Clermont, FL 34711 USA,352-394-7434",28.55514,-81.7454
"Point,Runner's Edge Boca,3195 North Federal Hwy,Boca Raton, FL 33431 USA,561-361-1950",26.34298,-80.08583
"Point,Fleet Feet Stuart,2440 Northwest Federal Highway,Stuart, FL 34994 USA,772-232-9225",27.23496,-80.26657
"Point,Ken Combs Running Store,4137 Shelbyville Road,Louisville, KY 40207 USA,502-895-3410",38.25248,-85.65179
"Point,Fleet Feet VA Beach,4001 Virginia Beach Blvd #139, Virginia Beach, VA 23452 USA,757-226-9619",36.84155,-76.11316
"Point,Runners Athletic Company Mount Pleasant,4459 E Blue Grass Rd, Mount Pleasant, MI 48858 USA,989-779-0317,info@runnersathleticcompany.com",52.75177,-1.57627
"Point,Fleet Feet Fresno,9447 N Fort Washington Rd #106, Fresno, CA 93730,559-433-6750",5.18501,-74.97961
"Point,The Running Well Store - Downtown Mission,6009 Johnson Drive, Mission, KS 66202,913-400-2013,contact@therunningwellstore.com",39.02192,-94.65524
"Point,Fleet Feet Rockford,1653 N Alpine Rd, Rockford, IL 61107,779-423-1435",42.28266,-89.02794
"Point,Wild Runners,10149 Fair Oaks Blvd, Fair Oaks, CA 95628,916-607-6918",38.64199,-121.27035
"Point,Spry Active,13101 20th Ave Blairmore, AB T0K�0E0, CANADA,403-753-5024,info@spryactive.ca",49.60784,-114.43713
"Point,Varsity Sports New Orleans,3450 Magazine Street, New Orleans, LA 70115,504-899-4144",29.92226,-90.09024
"Point,Varsity Sports Baton Rouge,2055 PERKINS RD, Baton Rouge, LA 70808,225-383-8913",30.43038,-91.16081
"Point,Runner's Depot - Davie,2233 S University Drive, Davie, FL 33324,954-474-4074",26.04889,-80.25218
"Point,Ready to Run Texas,3616 Far W Blvd, Ste 120, Austin, TX 78731,512-241-0323",30.35509,-97.75611
"Point,TC Running Company - St Paul,868 Randolph Ave, St Paul MN, 55102,651-290-2747",54.12844,-111.36165
"Point,TC Running Company - Woodbury,779 Bielenberg Drive, Woodbury, MN 55125,651-202-3992",44.93715,-92.95318
"Point,The Running Store,7343 Atlas Walk Way, Gainesville, VA 20155,703-753-4470",38.79613,-77.60849
"Point,The Tandem Connection,5 Georgetown Rd, Canonsburg, Pennsylvania 15317,724-745-2453",40.29943,-80.15215
"Point,Fleet Feet Houston - The Woodlands,1925 Hughes Landing Boulevard, The Woodlands, TX 77380,936-321-1500,woodlands@fleetfeethouston.com",30.17005,-95.47111
"Point,Fleet Feet Houston - Vintage Park,122 Vintage Park Blvd STE B, Houston, TX 77070,281-370-4140",29.86983,-95.33984
"Point,Fleet Feet Houston - Katy,23501 Cinco Ranch Blvd, Katy, TX 77494,281-394-2392",29.74202,-95.77447
"Point,Fleet Feet Houston - Sugar Land,15890 SW Freeway, Sugar Land, TX 77478,281-240-2215",29.77099,-95.17789
"Point,Skinny Raven,800 H Street, Anchorage, AK 99501,907-274-7222",33.935553,35.611165
"Point,Root Runners,270 South Sparta Avenue, Suite 106, Sparta, NJ 07871,973-512-3747",41.03971,-74.64845
