date/location,latitude,longitude,region
"26-Jul,Detweiller At Dark,Peoria, IL,8327 N Galena Rd, Peoria, IL 61615",33.6663,-112.26564,US
"17-Aug,OHSAA Early Season Invitational,Obetz, OH,2015 Recreation Trl, Obetz, OH 43207",39.88549,-82.94415,US
"24-Aug,WNC Cross Country Carnival,Hendersonville, NC,�801 4th Ave East. Hendersonville, NC 28792",35.34073,-82.45121,US
"30-Aug,Rusty Bucket,Mandan, ND,1002 7th St SW, Mandan, ND 58554",46.99745,-103.78923,US
"31-Aug,City Auto MEMPHIS TWILIGHT CLASSIC,Memphis, TN,9000 E Shelby Dr, Memphis, TN 38125",35.01858,-89.8324,US
"31-Aug,Marcus Coach T XC Invitational,Denton, TX,2001 West Windsor Drive, Denton, TX 76207",33.24607,-97.15846,US
"3-Sep,Dixie All-Comers Meet,St. George, UT,829 E Vermillion Ave, St. George, UT 84790",37.07246,-113.5764,US
"5-Sep,Juab Cross Country Invite,Nephi, UT,1200 E 100 N, Nephi, UT 84648",33.34034,-80.1902,US
"6-Sep,Murray Spartan Invitational,Murray, UT,5100 South State Street, Murray, UT 0",40.65995,-111.88797,US
"6-Sep,Park City Invitational A.M.,Park City, UT,600 Gilmor Way, Park City, UT 84060",40.66669,-111.512,US
"6-Sep,Red Raider Run,Bear Mountain, NY,3006 Seven Lakes Drive, Tomkins Cove, NY 10986",41.31156,-73.99144,US
"9/6 - 9/7,Rumble Through the Jungle,Goshen, KY,12501 Harmony Landing Rd, Goshen, KY 40026",38.40315,-85.58771,US
"7-Sep,Centaurus Bernie Gay Invitational,Lafayette, CO,1600 Caria Drive, Lafayette, CO 80026",39.98888,-105.11085,US
"7-Sep,Chickasaw Trails Invitational,Oakville, AL,1219 Co Rd 187, Danville, AL 35619",34.44375,-87.17827,US
"7-Sep,Knights Crossing Invitational,Salem, VA,2501 Green Hill Park Rd, Salem, VA 24153",37.27554,-80.10626,US
"7-Sep,Mike Kuharic Invitational,La Grange, IL,100 S Brainard Ave, , La Grange, IL 6052",47.2857,6.66944,US
"7-Sep,Pleasant Valley Spartan Classic,Bettendorf, IA,4800 Devils Glen Rd, Bettendorf, IA 52722",41.57241,-90.48354,US
"7-Sep,PTXC 15,Kutztown, PA,Luckenbill Rd., Kutztown, PA 19530",40.51053,-75.7891,US
"7-Sep,Terre Haute North State Preview,Terre Haute, IN,599 South Tabortown Road",39.45739,-87.26208,US
"12-Sep,Mayo Invitational,Rochester, MN,3505 Eastwood Rd SE, Rochester, MN 55901",44.00773,-92.40922,US
"14-Sep,DSHA Dasher Invitational,Milwaukee, WI,12020 W Bradley Rd, Milwaukee, WI 53224",43.16221,-87.90829,US
"14-Sep,Liberty Bell Invitational,Littleton, CO,1401 West Geddes Avenue , Littleton, CO 80120",39.58636,-105.00529,US
"14-Sep,Wayne Invitational,Wayne, NY,6200 Ontario Center Road, Ontario Center, NY 14520",43.22243,-77.30296,US
"9/20 - 9/21,Woodbridge Classic,Irvine, CA,8000 Great Park Blvd, Irvine, CA 92618",33.67394,-117.74177,US
"9/20 - 9/21,adidas XC Challenge,Cary, NC,201 Soccer Park Drive",35.77313,-78.81713,US
"9/20 - 9/21,Hare & Hounds Invitational (at McAlpine Park, Charlotte),Charlotte, NC,McAlpine Creek Greenway, Charlotte, NC 28227",35.15405,-80.75043,US
"20-Sep,Roy Griak Invitational,Falcon Heights, MN,�2275 Larpenteur Ave W, Falcon Heights, MN 55113",44.99092,-93.18956,US
"9/20 - 9/21,Trinity / Valkyrie Invitational,Louisville, KY,3000 Freys Hill Rd, Louisville, KY 40241",38.28653,-85.55099,US
"20-Sep,TwiKnight,American Fork, UT,1000 North 550 East, American Fork, UT 0",40.38811,-111.78488,US
"21-Sep,PIAA Foundation Invitational,Hershey, PA,800 Hersheypark Dr, Hershey, PA 17033",40.28322,-76.67514,US
"21-Sep,Minooka Flight Races/FS/Open Invitational,Channahon, IL,23304 W McClintock Rd, Channahon, Illinois",41.47104,-88.18055,US
"21-Sep,Oatlands Invitational,Leesburg, VA,20850 Oatlands Plantation Ln, Leesburg, VA 20175",39.04092,-77.6174,US
"21-Sep,Snow Canyon Tri-Meet,St. George, UT,1385 Lava Flow Dr, St George, UT",37.13093,-113.63402,US
"21-Sep,St. Vrain Invitational - High School,Lyons, CO,100 South Second Avenue, Lyons, CO 80540",40.23704,-105.32976,US
"21-Sep,Wingfoot Classic,Cartersville, GA",34.174918,-84.819204,US
"24-Sep,Wautoma Invitational,Neshkoro, WI,W6460 Co Rd YY, Neshkoro, WI 54960",44.01917,-89.19781,US
"9/27 - 9/28,Bob Firman Invitational XC,Boise, ID,165 Eagle Island Pkwy, Eagle, ID 83616",43.60828,-116.24808,US
